Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Exports of goods and services (current US$),NE.EXP.GNFS.CD,"Gambia, The",GMB,189941616.956467,201981794.863774,280761041.365959,261079084.811,268476026.166343,270072130.653881,236219097.354314,252666151.743551,362977084.968786,341709153.558052,174363176.361169,131923456.425636
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Georgia,GEO,3101400747.10438,703050139.134834,6020953188.39702,7171816760.85127,7039247890.3551,6110518662.14251,6177800312.67165,7557441721.45846,8896744920.10258,9577029902.09989,5908062642.69865,8045446632.88156
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Germany,DEU,404575941169.35,600907866067.452,1633318434049.22,1695844705677.65,1774175599429.01,1575404010475.78,1598674707103.9,1740716687374.12,1880263808511.37,1814620042988.23,1673068300859.15,2003471014267.41
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Ghana,GHA,993968473.144556,2431828408.88236,16656634664.9131,15982674472.5951,15466239763.8611,16715084477.4673,17519736891.9126,20463794483.3927,22514904281.0721,25592134166.4431,14513683721.429,23206601900.9723
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Greece,GRC,14466921754.0843,30942467693.0212,69565465932.7289,72167340436.45,76489983017.2778,62867562248.0769,60431141888.9686,70013677525.7613,82684241851.0211,82328450373.7254,60434496175.0476,87827556199.797
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Greenland,GRL,..,..,978938282.261545,1012250057.86728,1093416481.06904,939163780.674505,1103569677.79313,1160384073.6646,1358439172.71086,1230185623.8942,1118524632.76318,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Grenada,GRD,..,..,..,..,..,..,..,..,..,..,..,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Guam,GUM,..,..,1004000000,1053000000,1057000000,1048000000,1119000000,1141000000,1165000000,1403000000,371000000,186000000
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Guatemala,GTM,1608631682.19716,3895385279.26628,12530952103.7582,11658261378.6783,12579635808.6961,12331463395.5165,12387114040.9742,13252465330.2304,13323208213.6397,13591565593.0464,12674665552.9223,15296677104.8821
